START	END	ALLELE	EDIT DISTANCE	IS_REVERSE	CLOSEST_ALLELE
32219	32512	IGLV(I)-70*01	0	False	IGLV(I)-70*01
37133	37432	IGLV4-69*01	0	False	IGLV4-69*01
38872	39165	IGLV(I)-68*01	0	False	IGLV(I)-68*01
49579	49874	IGLV10-67*01	2	False	IGLV10-67*01
64465	64781	IGLV(IV)-66-1*01	0	False	IGLV(IV)-66-1*01
67232	67533	IGLV(V)-66*01	0	False	IGLV(V)-66*01
76372	76679	IGLV(IV)-65*01	1	False	IGLV(IV)-65*01
81331	81650	IGLV(IV)-64*01	1	False	IGLV(IV)-64*01
85903	86200	IGLV(I)-63*01	0	False	IGLV(I)-63*01
92693	92991	IGLV1-62*01	0	False	IGLV1-62*01
104885	105181	IGLV8-61*01	0	False	IGLV8-61*01
