START	END	ALLELE	EDIT DISTANCE	IS_REVERSE	CLOSEST_ALLELE
38978	39246	IGLV(III)-60-1*01	0	False	IGLV(III)-60-1*01
43966	44264	IGLV4-60*04	0	False	IGLV4-60*04
49932	50222	IGLV(III)-59-1*02	0	False	IGLV(III)-59-1*02
60745	61069	IGLV(IV)-59*01	1	False	IGLV(IV)-59*01
64163	64471	IGLV(V)-58*01	0	False	IGLV(V)-58*01
77564	77860	IGLV6-57*02	0	False	IGLV6-57*02
80307	80603	IGLV(I)-56*01	0	False	IGLV(I)-56*01
80607	80908	IGLV(IV)-55-1*01	0	False	IGLV(IV)-55-1*01
83427	83739	IGLV11-55*01	0	False	IGLV11-55*01
96551	96847	IGLV10-54*01	0	False	IGLV10-54*01
101413	101726	IGLV(IV)-53*02	0	False	IGLV(IV)-53*02
