START	END	ALLELE	EDIT DISTANCE	IS_REVERSE	CLOSEST_ALLELE
21195	21492	IGLV2-34*02	0	False	IGLV2-34*02
29574	29871	IGLV2-33*01	0	False	IGLV2-33*01
35951	36241	IGLV3-32*01	0	False	IGLV3-32*01
46081	46371	IGLV3-31*01	0	False	IGLV3-31*01
60077	60372	IGLV3-30*02	0	False	IGLV3-30*02
102682	102962	IGLV3-29*01	0	False	IGLV3-29*01
106032	106317	IGLV2-28*01	0	False	IGLV2-28*01
109910	110194	IGLV3-27*01	0	False	IGLV3-27*01
114731	115020	IGLV3-26*01	0	False	IGLV3-26*01
120488	120778	IGLV(VI)-25-1*01	1	False	IGLV(VI)-25-1*01
128363	128653	IGLV3-25*03	0	False	IGLV3-25*03
131083	131367	IGLV(II)-24-1*01	0	False	IGLV(II)-24-1*01
136143	136427	IGLV3-24*03	1	False	IGLV3-24*03
139481	139778	IGLV2-23*02	0	False	IGLV2-23*02
142110	142399	IGLV(VI)-22-1*02	0	False	IGLV(VI)-22-1*02
145892	146176	IGLV3-22*01	0	False	IGLV3-22*01
154269	154559	IGLV3-21*04	0	False	IGLV3-21*04
156514	156800	IGLV(I)-20*01	0	False	IGLV(I)-20*01
162222	162512	IGLV3-19*01	0	False	IGLV3-19*01
176154	176451	IGLV2-18*02	0	False	IGLV2-18*02
180273	180554	IGLV3-17*01	0	False	IGLV3-17*01
185678	185874	IGLV(VI)-25-1*unknown_truncated	110	False	IGLV(VI)-25-1*01
188991	189281	IGLV3-16*01	0	False	IGLV3-16*01
196926	197211	IGLV3-15*01	0	False	IGLV3-15*01
200252	200549	IGLV2-14*03	0	False	IGLV2-14*03
203536	203820	IGLV3-13*02	0	False	IGLV3-13*02
213541	213831	IGLV3-12*01	0	False	IGLV3-12*01
215764	215933	IGLV(I)-11-1*01	0	False	IGLV(I)-11-1*01
233938	234235	IGLV2-11*01	0	False	IGLV2-11*01
253246	253536	IGLV3-10*01	0	False	IGLV3-10*01
260722	261007	IGLV3-9*01	0	False	IGLV3-9*01
264247	264544	IGLV2-8*01	0	False	IGLV2-8*01
279543	279831	IGLV3-7*01	1	False	IGLV3-7*01
291315	291599	IGLV3-6*01	0	False	IGLV3-6*01
297706	298004	IGLV2-5*01	0	False	IGLV2-5*01
298966	299246	IGLV3-4*01	0	False	IGLV3-4*01
312668	312982	IGLV4-3*01	0	False	IGLV4-3*01
314156	314440	IGLV3-2*02	1	False	IGLV3-2*02
322089	322374	IGLV3-1*01	0	False	IGLV3-1*01
