START	END	ALLELE	EDIT DISTANCE	IS_REVERSE	CLOSEST_ALLELE
26633	26901	IGLV(III)-60-1*01	0	False	IGLV(III)-60-1*01
31621	31920	IGLV4-60*03	0	False	IGLV4-60*03
37586	37876	IGLV(III)-59-1*01	0	False	IGLV(III)-59-1*01
48394	48718	IGLV(IV)-59*01	2	False	IGLV(IV)-59*01
52090	52398	IGLV(V)-58*01	0	False	IGLV(V)-58*01
65632	65928	IGLV6-57*04	0	False	IGLV6-57*04
68375	68671	IGLV(I)-56*01	0	False	IGLV(I)-56*01
68675	68976	IGLV(IV)-55-1*01	0	False	IGLV(IV)-55-1*01
71495	71807	IGLV11-55*01	0	False	IGLV11-55*01
84620	84916	IGLV10-54*01	0	False	IGLV10-54*01
89486	89799	IGLV(IV)-53*02	0	False	IGLV(IV)-53*02
