START	END	ALLELE	EDIT DISTANCE	IS_REVERSE	CLOSEST_ALLELE
24845	25125	IGLV3-29*01	0	False	IGLV3-29*01
28195	28480	IGLV2-28*01	0	False	IGLV2-28*01
32073	32357	IGLV3-27*01	0	False	IGLV3-27*01
36894	37183	IGLV3-26*01	0	False	IGLV3-26*01
42651	42941	IGLV(VI)-25-1*01	1	False	IGLV(VI)-25-1*01
50515	50805	IGLV3-25*03	0	False	IGLV3-25*03
53240	53524	IGLV(II)-24-1*01	0	False	IGLV(II)-24-1*01
58300	58584	IGLV3-24*03	0	False	IGLV3-24*03
61638	61935	IGLV2-23*02	0	False	IGLV2-23*02
64267	64556	IGLV(VI)-22-1*02	0	False	IGLV(VI)-22-1*02
68049	68338	IGLV3-22*02	3	False	IGLV3-22*02
76424	76714	IGLV3-21*04	0	False	IGLV3-21*04
78670	78956	IGLV(I)-20*01	0	False	IGLV(I)-20*01
84378	84668	IGLV3-19*01	0	False	IGLV3-19*01
98274	98571	IGLV2-18*02	0	False	IGLV2-18*02
102393	102674	IGLV3-17*01	0	False	IGLV3-17*01
107786	107982	IGLV(VI)-25-1*unknown_truncated	110	False	IGLV(VI)-25-1*01
111101	111391	IGLV3-16*01	1	False	IGLV3-16*01
118984	119269	IGLV3-15*01	0	False	IGLV3-15*01
122367	122641	IGLV2-14*04	1	False	IGLV2-14*04
125720	126004	IGLV3-13*01	0	False	IGLV3-13*01
135722	136012	IGLV3-12*02	0	False	IGLV3-12*02
137946	138115	IGLV(I)-11-1*01	0	False	IGLV(I)-11-1*01
156136	156433	IGLV2-11*01	0	False	IGLV2-11*01
175440	175730	IGLV3-10*01	0	False	IGLV3-10*01
182916	183201	IGLV3-9*01	0	False	IGLV3-9*01
186441	186738	IGLV2-8*01	0	False	IGLV2-8*01
202048	202336	IGLV3-7*01	1	False	IGLV3-7*01
213819	214103	IGLV3-6*01	0	False	IGLV3-6*01
220209	220507	IGLV2-5*02	0	False	IGLV2-5*02
221469	221749	IGLV3-4*01	0	False	IGLV3-4*01
235178	235492	IGLV4-3*01	0	False	IGLV4-3*01
236665	236949	IGLV3-2*02	1	False	IGLV3-2*02
