START	END	ALLELE	EDIT DISTANCE	IS_REVERSE	CLOSEST_ALLELE
1612	1894	IGLV3-27*01	2	False	IGLV3-27*01
6430	6719	IGLV3-26*01	0	False	IGLV3-26*01
12193	12483	IGLV(VI)-25-1*01	0	False	IGLV(VI)-25-1*01
20077	20367	IGLV3-25*03	0	False	IGLV3-25*03
22812	23096	IGLV(II)-24-1*01	0	False	IGLV(II)-24-1*01
27872	28156	IGLV3-24*03	1	False	IGLV3-24*03
31210	31507	IGLV2-23*03	0	False	IGLV2-23*03
33838	34127	IGLV(VI)-22-1*02	0	False	IGLV(VI)-22-1*02
37620	37904	IGLV3-22*01	0	False	IGLV3-22*01
45995	46285	IGLV3-21*04	0	False	IGLV3-21*04
