START	END	ALLELE	EDIT DISTANCE	IS_REVERSE	CLOSEST_ALLELE
11007	11300	IGLV(I)-70*01	1	False	IGLV(I)-70*01
15918	16217	IGLV4-69*01	1	False	IGLV4-69*01
17657	17950	IGLV(I)-68*01	0	False	IGLV(I)-68*01
28364	28659	IGLV10-67*01	0	False	IGLV10-67*01
43235	43551	IGLV(IV)-66-1*01	0	False	IGLV(IV)-66-1*01
46003	46304	IGLV(V)-66*01	1	False	IGLV(V)-66*01
55162	55469	IGLV(IV)-65*01	2	False	IGLV(IV)-65*01
60121	60440	IGLV(IV)-64*01	1	False	IGLV(IV)-64*01
64695	64992	IGLV(I)-63*01	2	False	IGLV(I)-63*01
71486	71784	IGLV1-62*01	0	False	IGLV1-62*01
83675	83971	IGLV8-61*01	0	False	IGLV8-61*01
