START	END	ALLELE	EDIT DISTANCE	IS_REVERSE	CLOSEST_ALLELE
30810	31103	IGLV(I)-70*01	4	False	IGLV(I)-70*01
35704	36003	IGLV4-69*01	0	False	IGLV4-69*01
37443	37736	IGLV(I)-68*01	0	False	IGLV(I)-68*01
48149	48444	IGLV10-67*01	1	False	IGLV10-67*01
63020	63336	IGLV(IV)-66-1*01	0	False	IGLV(IV)-66-1*01
65788	66089	IGLV(V)-66*01	1	False	IGLV(V)-66*01
74946	75253	IGLV(IV)-65*01	1	False	IGLV(IV)-65*01
79905	80224	IGLV(IV)-64*01	1	False	IGLV(IV)-64*01
84479	84776	IGLV(I)-63*01	0	False	IGLV(I)-63*01
91263	91561	IGLV1-62*01	0	False	IGLV1-62*01
103456	103752	IGLV8-61*01	0	False	IGLV8-61*01
