START	END	ALLELE	EDIT DISTANCE	IS_REVERSE	CLOSEST_ALLELE
3403	3692	IGLV3-26*01	0	False	IGLV3-26*01
9165	9455	IGLV(VI)-25-1*01	0	False	IGLV(VI)-25-1*01
17040	17330	IGLV3-25*02	0	False	IGLV3-25*02
19785	20069	IGLV(II)-24-1*01	0	False	IGLV(II)-24-1*01
24846	25130	IGLV3-24*02	0	False	IGLV3-24*02
28184	28481	IGLV2-23*03	0	False	IGLV2-23*03
30812	31101	IGLV(VI)-22-1*02	0	False	IGLV(VI)-22-1*02
34594	34878	IGLV3-22*01	0	False	IGLV3-22*01
42969	43259	IGLV3-21*02	0	False	IGLV3-21*02
45217	45503	IGLV(I)-20*01	0	False	IGLV(I)-20*01
50925	51215	IGLV3-19*01	0	False	IGLV3-19*01
64852	65149	IGLV2-18*01	0	False	IGLV2-18*01
68970	69251	IGLV3-17*01	0	False	IGLV3-17*01
74378	74574	IGLV(VI)-25-1*unknown_truncated	110	False	IGLV(VI)-25-1*01
77693	77983	IGLV3-16*01	0	False	IGLV3-16*01
85612	85897	IGLV3-15*01	0	False	IGLV3-15*01
88974	89271	IGLV2-14*01	0	False	IGLV2-14*01
92350	92634	IGLV3-13*01	0	False	IGLV3-13*01
102352	102642	IGLV3-12*02	0	False	IGLV3-12*02
104576	104745	IGLV(I)-11-1*01	0	False	IGLV(I)-11-1*01
122774	123071	IGLV2-11*01	0	False	IGLV2-11*01
142058	142348	IGLV3-10*01	1	False	IGLV3-10*01
149532	149817	IGLV3-9*01	0	False	IGLV3-9*01
153057	153354	IGLV2-8*01	0	False	IGLV2-8*01
168346	168634	IGLV3-7*01	1	False	IGLV3-7*01
180120	180404	IGLV3-6*01	0	False	IGLV3-6*01
186512	186810	IGLV2-5*01	1	False	IGLV2-5*01
187772	188052	IGLV3-4*01	1	False	IGLV3-4*01
201480	201794	IGLV4-3*01	0	False	IGLV4-3*01
202968	203252	IGLV3-2*02	1	False	IGLV3-2*02
