START	END	ALLELE	EDIT DISTANCE	IS_REVERSE	CLOSEST_ALLELE
39219	39487	IGLV(III)-60-1*01	0	False	IGLV(III)-60-1*01
44207	44505	IGLV4-60*04	0	False	IGLV4-60*04
50173	50463	IGLV(III)-59-1*02	0	False	IGLV(III)-59-1*02
60986	61310	IGLV(IV)-59*01	1	False	IGLV(IV)-59*01
64404	64712	IGLV(V)-58*01	0	False	IGLV(V)-58*01
77805	78101	IGLV6-57*02	0	False	IGLV6-57*02
80548	80844	IGLV(I)-56*01	0	False	IGLV(I)-56*01
80848	81149	IGLV(IV)-55-1*01	1	False	IGLV(IV)-55-1*01
83674	83986	IGLV11-55*02	0	False	IGLV11-55*02
96792	97088	IGLV10-54*04	0	False	IGLV10-54*04
101670	101983	IGLV(IV)-53*02	0	False	IGLV(IV)-53*02
