START	END	ALLELE	EDIT DISTANCE	IS_REVERSE	CLOSEST_ALLELE
11480	11777	IGLV2-11*01	0	False	IGLV2-11*01
21854	22136	IGLV4-3*unknown_truncated	78	False	IGLV4-3*01
30772	31062	IGLV3-10*01	0	False	IGLV3-10*01
38248	38533	IGLV3-9*01	0	False	IGLV3-9*01
41773	42070	IGLV2-8*01	0	False	IGLV2-8*01
53517	53888	IGLV4-3*unknown_truncated	182	False	IGLV4-3*01
57370	57658	IGLV3-7*01	1	False	IGLV3-7*01
69143	69427	IGLV3-6*01	0	False	IGLV3-6*01
75534	75832	IGLV2-5*01	0	False	IGLV2-5*01
76794	77074	IGLV3-4*01	0	False	IGLV3-4*01
