START	END	ALLELE	EDIT DISTANCE	IS_REVERSE	CLOSEST_ALLELE
20176	20473	IGLV2-34*02	1	False	IGLV2-34*02
28362	28659	IGLV2-33*01	0	False	IGLV2-33*01
34733	35023	IGLV3-32*01	0	False	IGLV3-32*01
44860	45150	IGLV3-31*01	0	False	IGLV3-31*01
58855	59150	IGLV3-30*02	0	False	IGLV3-30*02
101543	101823	IGLV3-29*01	0	False	IGLV3-29*01
104888	105173	IGLV2-28*01	0	False	IGLV2-28*01
108766	109050	IGLV3-27*01	0	False	IGLV3-27*01
113589	113878	IGLV3-26*01	0	False	IGLV3-26*01
119352	119642	IGLV(VI)-25-1*01	0	False	IGLV(VI)-25-1*01
127236	127526	IGLV3-25*03	0	False	IGLV3-25*03
129966	130250	IGLV(II)-24-1*01	0	False	IGLV(II)-24-1*01
135026	135310	IGLV3-24*03	1	False	IGLV3-24*03
138364	138661	IGLV2-23*03	0	False	IGLV2-23*03
140992	141281	IGLV(VI)-22-1*02	0	False	IGLV(VI)-22-1*02
144774	145058	IGLV3-22*01	0	False	IGLV3-22*01
153153	153443	IGLV3-21*02	0	False	IGLV3-21*02
155398	155684	IGLV(I)-20*01	0	False	IGLV(I)-20*01
161106	161396	IGLV3-19*01	0	False	IGLV3-19*01
