START	END	ALLELE	EDIT DISTANCE	IS_REVERSE	CLOSEST_ALLELE
939	1251	IGLV5-45*03	0	False	IGLV5-45*03
5798	6094	IGLV1-44*01	0	False	IGLV1-44*01
19938	20232	IGLV7-43*01	0	False	IGLV7-43*01
21939	22230	IGLV(I)-42*01	2	False	IGLV(I)-42*01
27509	27821	IGLV5-39*01	0	False	IGLV5-39*01
32078	32423	IGLV(VII)-41-1*unknown	58	False	IGLV(VII)-41-1*01
38260	38556	IGLV1-41*02	0	False	IGLV1-41*02
43818	44117	IGLV1-40*01	0	False	IGLV1-40*01
59843	60134	IGLV(I)-38*01	1	False	IGLV(I)-38*01
61578	61890	IGLV5-37*01	0	False	IGLV5-37*01
66026	66322	IGLV1-36*01	0	False	IGLV1-36*01
